Octave version 3.8.1
Minc-tool-kit version 0.3.18-20130531
NIAK quarantine /home/pbellec/git/niak/commands/misc/niak_gb_vars.m
Deamon started on 16-Apr-2016 13:51:53
16-Apr-2016 13:52:11 Starting worker number 57...
16-Apr-2016 13:52:12 Starting worker number 58...
16-Apr-2016 13:52:12 Starting worker number 59...
16-Apr-2016 13:52:12 Starting worker number 60...
16-Apr-2016 13:52:13 Starting worker number 61...
16-Apr-2016 13:52:13 Starting worker number 62...
16-Apr-2016 13:52:13 Starting worker number 63...
16-Apr-2016 13:52:13 Starting worker number 64...
16-Apr-2016 13:52:14 Starting worker number 65...
16-Apr-2016 13:52:14 Starting worker number 66...
16-Apr-2016 13:52:14 Starting worker number 67...
16-Apr-2016 13:52:14 Starting worker number 68...
16-Apr-2016 13:52:15 Starting worker number 69...
16-Apr-2016 13:52:15 Starting worker number 70...
16-Apr-2016 13:52:15 Starting worker number 71...
16-Apr-2016 13:52:15 Starting worker number 72...
16-Apr-2016 13:52:16 Starting worker number 73...
16-Apr-2016 13:52:16 Starting worker number 74...
16-Apr-2016 13:52:16 Starting worker number 75...
16-Apr-2016 13:52:16 Starting worker number 76...
16-Apr-2016 13:52:17 Starting worker number 77...
16-Apr-2016 13:52:17 Starting worker number 78...
16-Apr-2016 13:52:18 Starting worker number 79...
16-Apr-2016 13:52:18 Starting worker number 80...
16-Apr-2016 13:52:18 Starting worker number 81...
16-Apr-2016 13:52:18 Starting worker number 82...
16-Apr-2016 13:52:19 Starting worker number 83...
16-Apr-2016 13:52:19 Starting worker number 84...
16-Apr-2016 13:52:19 Starting worker number 85...
16-Apr-2016 13:52:20 Starting worker number 86...
16-Apr-2016 13:52:20 Starting worker number 87...
16-Apr-2016 13:52:20 Starting worker number 88...
16-Apr-2016 13:52:20 Starting worker number 89...
16-Apr-2016 13:52:21 Starting worker number 90...
16-Apr-2016 13:52:21 Starting worker number 91...
16-Apr-2016 13:52:21 Starting worker number 92...
16-Apr-2016 13:52:21 Starting worker number 93...
16-Apr-2016 13:52:22 Starting worker number 94...
16-Apr-2016 13:52:22 Starting worker number 95...
16-Apr-2016 13:52:23 Starting worker number 96...
16-Apr-2016 13:52:23 Starting worker number 97...
16-Apr-2016 13:52:23 Starting worker number 98...
16-Apr-2016 13:52:23 Starting worker number 99...
16-Apr-2016 13:52:24 Starting worker number 100...
16-Apr-2016 13:52:24 Starting worker number 101...
16-Apr-2016 13:52:24 Starting worker number 102...
16-Apr-2016 13:52:24 Starting worker number 103...
16-Apr-2016 13:52:24 Starting worker number 104...
16-Apr-2016 13:52:25 Starting worker number 105...
16-Apr-2016 13:52:25 Starting worker number 106...
16-Apr-2016 13:52:25 Starting worker number 107...
16-Apr-2016 13:52:25 Starting worker number 108...
16-Apr-2016 13:52:26 Starting worker number 109...
16-Apr-2016 13:52:26 Starting worker number 110...
16-Apr-2016 13:52:26 Starting worker number 111...
16-Apr-2016 13:52:27 Starting worker number 112...
16-Apr-2016 13:52:27 Starting worker number 113...
16-Apr-2016 13:52:28 Starting worker number 114...
16-Apr-2016 13:52:28 Starting worker number 115...
16-Apr-2016 13:52:28 Starting worker number 116...
16-Apr-2016 13:52:28 Starting worker number 117...
16-Apr-2016 13:52:28 Starting worker number 118...
16-Apr-2016 13:52:29 Starting worker number 119...
16-Apr-2016 13:52:29 Starting worker number 120...
16-Apr-2016 13:52:29 Starting worker number 121...
16-Apr-2016 13:52:30 Starting worker number 122...
16-Apr-2016 13:52:30 Starting worker number 123...
16-Apr-2016 13:52:30 Starting worker number 124...
16-Apr-2016 13:52:30 Starting worker number 125...
16-Apr-2016 13:52:30 Starting worker number 126...
16-Apr-2016 13:52:31 Starting worker number 127...
16-Apr-2016 13:52:31 Starting worker number 128...
16-Apr-2016 13:52:31 Starting worker number 129...
16-Apr-2016 13:52:31 Starting worker number 130...
16-Apr-2016 13:52:32 Starting worker number 131...
16-Apr-2016 13:52:32 Starting worker number 132...
16-Apr-2016 13:52:33 Starting worker number 133...
16-Apr-2016 13:52:33 Starting worker number 134...
16-Apr-2016 13:52:33 Starting worker number 135...
16-Apr-2016 13:52:33 Starting worker number 136...
16-Apr-2016 13:52:34 Starting worker number 137...
16-Apr-2016 13:52:34 Starting worker number 138...
16-Apr-2016 13:52:34 Starting worker number 139...
16-Apr-2016 13:52:34 Starting worker number 140...
16-Apr-2016 13:52:35 Starting worker number 141...
16-Apr-2016 13:52:35 Starting worker number 142...
16-Apr-2016 13:52:35 Starting worker number 143...
16-Apr-2016 13:52:35 Starting worker number 144...
16-Apr-2016 13:52:36 Starting worker number 145...
16-Apr-2016 13:52:36 Starting worker number 146...
16-Apr-2016 13:52:36 Starting worker number 147...
16-Apr-2016 13:52:36 Starting worker number 148...
16-Apr-2016 13:52:37 Starting worker number 149...
16-Apr-2016 13:52:37 Starting worker number 150...
16-Apr-2016 13:52:37 Starting worker number 151...
16-Apr-2016 13:52:38 Starting worker number 152...
16-Apr-2016 13:52:38 Starting worker number 153...
16-Apr-2016 13:52:38 Starting worker number 154...
16-Apr-2016 13:52:38 Starting worker number 155...
16-Apr-2016 13:52:39 Starting worker number 156...
16-Apr-2016 13:52:39 Starting worker number 157...
16-Apr-2016 13:52:39 Starting worker number 158...
16-Apr-2016 13:52:39 Starting worker number 159...
16-Apr-2016 13:52:40 Starting worker number 160...
16-Apr-2016 13:52:40 Starting worker number 161...
16-Apr-2016 13:52:40 Starting worker number 162...
16-Apr-2016 13:52:41 Starting worker number 163...
16-Apr-2016 13:52:41 Starting worker number 164...
16-Apr-2016 13:52:41 Starting worker number 165...
16-Apr-2016 13:52:41 Starting worker number 166...
16-Apr-2016 13:52:41 Starting worker number 167...
16-Apr-2016 13:52:42 Starting worker number 168...
16-Apr-2016 13:52:42 Starting worker number 169...
16-Apr-2016 13:52:42 Starting worker number 170...
16-Apr-2016 13:52:43 Starting worker number 171...
16-Apr-2016 13:52:43 Starting worker number 172...
16-Apr-2016 13:52:43 Starting worker number 173...
16-Apr-2016 13:52:43 Starting worker number 174...
16-Apr-2016 13:52:44 Starting worker number 175...
16-Apr-2016 13:52:44 Starting worker number 176...
16-Apr-2016 13:52:44 Starting worker number 177...
16-Apr-2016 13:52:44 Starting worker number 178...
16-Apr-2016 13:52:45 Starting worker number 179...
16-Apr-2016 13:52:45 Starting worker number 180...
16-Apr-2016 13:52:45 Starting worker number 181...
16-Apr-2016 13:52:46 Starting worker number 182...
16-Apr-2016 13:52:46 Starting worker number 183...
16-Apr-2016 13:52:46 Starting worker number 184...
16-Apr-2016 13:52:46 Starting worker number 185...
16-Apr-2016 13:52:47 Starting worker number 186...
16-Apr-2016 13:52:47 Starting worker number 187...
16-Apr-2016 13:52:47 Starting worker number 188...
16-Apr-2016 13:52:47 Starting worker number 189...
16-Apr-2016 13:52:48 Starting worker number 190...
16-Apr-2016 13:52:48 Starting worker number 191...
16-Apr-2016 13:52:48 Starting worker number 192...
16-Apr-2016 13:52:48 Starting worker number 193...
16-Apr-2016 13:52:49 Starting worker number 194...
16-Apr-2016 13:52:49 Starting worker number 195...
16-Apr-2016 13:52:49 Starting worker number 196...
16-Apr-2016 13:52:50 Starting worker number 197...
16-Apr-2016 13:52:50 Starting worker number 198...
16-Apr-2016 13:52:50 Starting worker number 199...
16-Apr-2016 13:52:51 Starting worker number 200...
16-Apr-2016 13:52:51 Starting worker number 201...
16-Apr-2016 13:52:51 Starting worker number 202...
16-Apr-2016 13:52:51 Starting worker number 203...
16-Apr-2016 13:52:52 Starting worker number 204...
16-Apr-2016 13:52:52 Starting worker number 205...
16-Apr-2016 13:52:52 Starting worker number 206...
16-Apr-2016 13:52:52 Starting worker number 207...
16-Apr-2016 13:52:53 Starting worker number 208...
16-Apr-2016 13:52:53 Starting worker number 209...
16-Apr-2016 13:52:53 Starting worker number 210...
16-Apr-2016 13:52:53 Starting worker number 211...
16-Apr-2016 13:52:54 Starting worker number 212...
16-Apr-2016 13:52:54 Starting worker number 213...
16-Apr-2016 13:52:54 Starting worker number 214...
16-Apr-2016 13:52:54 Starting worker number 215...
16-Apr-2016 13:52:55 Starting worker number 216...
16-Apr-2016 13:52:55 Starting worker number 217...
16-Apr-2016 13:52:56 Starting worker number 218...
16-Apr-2016 13:52:56 Starting worker number 219...
16-Apr-2016 13:52:56 Starting worker number 220...
16-Apr-2016 13:52:56 Starting worker number 221...
16-Apr-2016 13:52:57 Starting worker number 222...
16-Apr-2016 13:52:57 Starting worker number 223...
16-Apr-2016 13:52:57 Starting worker number 224...
16-Apr-2016 13:52:57 Starting worker number 225...
16-Apr-2016 13:52:58 Starting worker number 226...
16-Apr-2016 13:52:58 Starting worker number 227...
16-Apr-2016 13:52:58 Starting worker number 228...
16-Apr-2016 13:52:58 Starting worker number 229...
16-Apr-2016 13:52:59 Starting worker number 230...
16-Apr-2016 13:52:59 Starting worker number 231...
16-Apr-2016 13:52:59 Starting worker number 232...
16-Apr-2016 13:53:00 Starting worker number 233...
16-Apr-2016 13:53:01 Starting worker number 234...
16-Apr-2016 13:53:01 Starting worker number 235...
16-Apr-2016 13:53:01 Starting worker number 236...
16-Apr-2016 13:53:01 Starting worker number 237...
16-Apr-2016 13:53:02 Starting worker number 238...
16-Apr-2016 13:53:02 Starting worker number 239...
16-Apr-2016 13:53:02 Starting worker number 240...
16-Apr-2016 13:53:03 Starting worker number 241...
16-Apr-2016 13:53:03 Starting worker number 242...
16-Apr-2016 13:53:03 Starting worker number 243...
16-Apr-2016 13:53:03 Starting worker number 244...
16-Apr-2016 13:53:04 Starting worker number 245...
16-Apr-2016 13:53:04 Starting worker number 246...
16-Apr-2016 13:53:05 Starting worker number 247...
16-Apr-2016 13:53:05 Starting worker number 248...
16-Apr-2016 13:53:05 Starting worker number 249...
16-Apr-2016 13:53:05 Starting worker number 250...
16-Apr-2016 13:53:06 Starting worker number 251...
16-Apr-2016 13:53:06 Starting worker number 252...
16-Apr-2016 13:53:06 Starting worker number 253...
16-Apr-2016 13:53:06 Starting worker number 254...
16-Apr-2016 13:53:07 Starting worker number 255...
16-Apr-2016 13:53:07 Starting worker number 256...
16-Apr-2016 13:53:07 Starting worker number 257...
16-Apr-2016 13:53:08 Starting worker number 258...
16-Apr-2016 13:53:08 Starting worker number 259...
16-Apr-2016 13:53:08 Starting worker number 260...
16-Apr-2016 13:53:08 Starting worker number 261...
16-Apr-2016 13:53:09 Starting worker number 262...
16-Apr-2016 13:53:09 Starting worker number 263...
16-Apr-2016 13:53:09 Starting worker number 264...
16-Apr-2016 13:53:09 Starting worker number 265...
16-Apr-2016 13:53:10 Starting worker number 266...
16-Apr-2016 13:53:10 Starting worker number 267...
16-Apr-2016 13:53:11 Starting worker number 268...
16-Apr-2016 13:53:11 Starting worker number 269...
16-Apr-2016 13:53:11 Starting worker number 270...
16-Apr-2016 13:53:11 Starting worker number 271...
16-Apr-2016 13:53:12 Starting worker number 272...
16-Apr-2016 13:53:12 Starting worker number 273...
16-Apr-2016 13:53:12 Starting worker number 274...
16-Apr-2016 13:53:12 Starting worker number 275...
16-Apr-2016 13:53:13 Starting worker number 276...
16-Apr-2016 13:53:13 Starting worker number 277...
16-Apr-2016 13:53:13 Starting worker number 278...
16-Apr-2016 13:53:13 Starting worker number 279...
16-Apr-2016 13:53:14 Starting worker number 280...
16-Apr-2016 13:53:14 Starting worker number 281...
16-Apr-2016 13:53:14 Starting worker number 282...
16-Apr-2016 13:53:14 Starting worker number 283...
16-Apr-2016 13:53:15 Starting worker number 284...
16-Apr-2016 13:53:15 Starting worker number 285...
16-Apr-2016 13:53:15 Starting worker number 286...
16-Apr-2016 13:53:16 Starting worker number 287...
16-Apr-2016 13:53:16 Starting worker number 288...
16-Apr-2016 13:53:16 Starting worker number 289...
16-Apr-2016 13:53:16 Starting worker number 290...
16-Apr-2016 13:53:17 Starting worker number 291...
16-Apr-2016 13:53:17 Starting worker number 292...
16-Apr-2016 13:53:17 Starting worker number 293...
16-Apr-2016 13:53:17 Starting worker number 294...
16-Apr-2016 13:53:18 Starting worker number 295...
16-Apr-2016 13:53:18 Starting worker number 296...
16-Apr-2016 13:53:18 Starting worker number 297...
16-Apr-2016 13:53:18 Starting worker number 298...
16-Apr-2016 13:53:19 Starting worker number 299...
16-Apr-2016 13:53:19 Starting worker number 300...
Deamon terminated on 16-Apr-2016 13:57:26

